model,accuracy,precision,recall,f1_score,auc_roc,training_time
Logistic Regression,0.9031802120141342,0.90454602567183,0.9031802120141343,0.903176440230968,0.9585837261652016,64.481295
Random Forest,0.9547703180212014,0.954877902924951,0.9547703180212015,0.9547764194643891,0.9900692503608445,12.353443
Linear SVM,0.8614840989399293,0.8640426817462478,0.8614840989399293,0.8614104770961237,0.9394359214256309,8.51332
