model,accuracy,precision,recall,f1_score,auc_roc,training_time
Logistic Regression,0.9130742049469964,0.9135056032004373,0.9130742049469964,0.9130887941175269,0.961400520577193,4.517964
Random Forest,0.995053003533569,0.9950624576292519,0.995053003533569,0.995053255695608,0.9991963439647831,12.665933
Linear SVM,0.9731448763250884,0.9732493405747193,0.9731448763250884,0.973148499056981,0.9928870443450203,22.211253
